SurveyCaseid,date,weight,polltype,A003_rating,A003_ratinggp,v1,v3,WillVote,WillVotegp,OwnDistrictAny,KnowDistrict10,District10,District10gp,RealKnowDistrict10,District18,WongTaiSin,ShaTin,YuenLong,District10_2,sex,pob1,pob2,pob2_v2,pobgp,agegp_TP_7,agegp_TP_6,agegp_TP_5,agegp_TP,agegp2,agegp_2015,eduv2,edugp_TP,occv2,occgp,occv2_8881_others,v4_2019,inclin,v4_2019_8881_others,type,housingv2,housinggpv3,districtgp,marital,mid,midgp,civicactive
LC2016R1_000029,20211115,1.0057325,2,70,4,1,1,8886,8886,2,2,,,3,12,,,,6,1,1,,,1,5,4,4,5,3,2,3,2,2,2,,4,3,,1,3,3,4,2,4,2,2
LC2016R1_000030,20211115,1.1899636,1,0,1,1,1,8886,8886,2,1,-99,-99,-99,-99,,,,-99,2,1,,,1,4,3,3,4,2,2,3,2,2,2,,8888,8888,,2,-99,-99,2,-99,5,3,2
LC2016R1_000031,20211115,0.8973245,1,90,4,1,1,1,1,2,1,8885,2,2,7,,,,4,2,2,45,4,2,5,4,4,5,3,2,3,2,5,5,,8886,8886,,1,3,3,3,2,3,1,2
LC2016R1_000032,20211115,1.0057325,2,100,5,1,2,4,3,2,2,,,3,13,,1,,6,1,2,16,2,2,5,4,4,5,3,2,3,2,1,1,,2,2,,1,3,3,4,2,8888,8888,-99
LC2016R1_000033,20211115,1.1238308,1,0,1,1,1,4,3,2,2,,,3,3,,,,1,1,1,,,1,6,5,5,6,3,3,5,3,6,6,,3,1,,1,3,3,1,2,2,1,2
LC2016R1_000034,20211115,1.5553858,2,40,2,1,2,2,1,1,1,8886,2,2,14,,,,9,1,2,30,3,2,4,3,3,4,2,2,5,3,1,1,,4,3,,1,3,3,5,2,3,1,1
LC2016R1_000035,20211115,0.9037720,1,8888,8888,1,1,3,3,2,2,,,3,14,,,,9,2,1,,,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,,-99,-99,-99,5,-99,-99,-99,-99
LC2016R1_000036,20211115,1.2080403,2,20,2,1,1,1,1,2,1,8885,2,2,-99,,,,-99,2,1,,,1,3,2,2,3,2,2,4,3,2,2,,1,1,,1,3,3,5,1,4,2,2
LC2016R1_000037,20211115,0.5553218,1,50,3,1,1,1,1,2,1,8885,2,2,12,,,,6,2,2,36,3,2,7,6,5,6,3,3,2,2,5,5,,8886,8886,,1,2,2,4,2,5,3,-99
LC2016R1_000038,20211115,1.3152088,2,0,1,1,1,3,3,2,1,8885,2,2,16,,,2,7,2,1,,,1,3,2,2,3,2,2,4,3,2,2,,4,3,,2,1,1,5,1,4,2,2
LC2016R1_000039,20211115,1.2050280,1,0,1,1,1,4,3,1,2,,,3,16,,,1,8,2,1,,,1,3,2,2,3,2,2,5,3,1,1,,3,1,,1,3,3,5,1,3,1,2
LC2016R1_000040,20211115,0.9862867,1,2,2,1,2,4,3,2,2,,,3,-99,,,,-99,1,1,,,1,-99,-99,-99,-99,-99,-99,5,3,1,1,,8886,8886,,-99,-99,-99,-99,-99,-99,-99,2
LC2016R1_000041,20211115,0.7791298,1,10,2,1,1,1,1,1,1,3,1,1,,,,,3,1,1,,,1,2,1,1,2,1,1,4,3,1,1,,4,3,,2,1,1,2,1,5,3,2
LC2016R1_000042,20211115,1.4874367,1,0,1,1,1,4,3,1,1,8885,2,2,1,,,,2,1,1,,,1,2,1,1,2,1,1,5,3,7,6,,3,1,,2,3,3,1,1,5,3,1
LC2016R1_000043,20211115,1.1869964,2,80,4,1,1,1,1,1,1,8885,2,2,16,,,1,8,2,1,,,1,4,3,3,4,2,2,3,2,2,2,,2,2,,1,3,3,5,2,3,1,2
LC2016R1_000044,20211115,1.1109680,1,70,4,1,2,2,1,2,2,,,3,12,,,,6,2,2,25,3,2,3,2,2,3,2,2,3,2,2,2,,2,2,,2,1,1,4,1,5,3,2
LC2016R1_000045,20211115,0.7791298,2,0,1,1,2,4,3,1,1,3,1,1,,,,,3,1,1,,,1,1,1,1,1,1,1,5,3,2,2,,-99,-99,,2,1,1,2,1,4,2,2
LC2016R1_000046,20211115,1.2080403,2,0,1,1,1,8886,8886,2,1,8886,2,2,13,,8888,,-99,2,1,,,1,3,2,2,3,2,2,3,2,2,2,,8886,8886,,-99,-99,-99,4,-99,-99,-99,2
LC2016R1_000047,20211115,1.0057325,1,10,2,1,1,1,1,1,1,8885,2,2,12,,,,6,1,1,,,1,5,4,4,5,3,2,5,3,6,6,,8886,8886,,1,3,3,4,1,3,1,2
LC2016R1_000048,20211115,1.1321082,1,0,1,1,1,4,3,2,1,2,1,1,,,,,2,2,1,,,1,5,4,4,5,3,2,5,3,1,1,,1,1,,1,3,3,1,2,4,2,2
LC2016R1_000049,20211115,1.0240744,1,0,1,1,1,4,3,1,1,-99,-99,-99,-99,,,,-99,1,1,,,1,3,2,2,3,2,2,5,3,1,1,,2,2,,1,3,3,5,1,3,1,1
LC2016R1_000050,20211115,1.3160871,1,50,3,1,1,1,1,1,1,1,1,1,,,,,1,1,1,,,1,5,4,4,5,3,2,5,3,2,2,,4,3,,1,3,3,1,2,3,1,2
