SurveyCaseid,date,weight,polltype,A003_rating,A003_ratinggp,v1,v3,WillVote,WillVotegp,OwnDistrictAny,KnowDistrict10,District10,District10gp,RealKnowDistrict10,District18,WongTaiSin,ShaTin,YuenLong,District10_2,sex,pob1,pob2,pob2_v2,pobgp,agegp_TP_7,agegp_TP_6,agegp_TP_5,agegp_TP,agegp2,agegp_2015,eduv2,edugp_TP,occv2,occgp,occv2_8881_others,v4_2019,inclin,v4_2019_8881_others,type,housingv2,housinggpv3,districtgp,marital,mid,midgp,civicactive
LC2016R1_000123,20211115,0.9315247,2,50,3,1,1,1,1,2,1,8886,2,2,16,,,1,8,1,1,,,1,6,5,5,6,3,3,2,2,1,1,,4,3,,1,3,3,5,2,2,1,2
LC2016R1_000124,20211115,0.9338533,1,80,4,1,1,1,1,1,1,-99,-99,-99,-99,,,,-99,1,1,,,1,6,5,5,6,3,3,3,2,6,6,,-99,-99,,-99,-99,-99,-99,2,8888,8888,1
LC2016R1_000125,20211115,0.8894930,2,0,1,1,1,4,3,2,1,3,1,1,,,,,3,1,1,,,1,4,3,3,4,2,2,3,2,2,2,,1,1,,1,2,2,2,2,3,1,1
LC2016R1_000126,20211115,1.2348555,1,0,1,1,1,4,3,2,1,8885,2,2,1,,,,2,2,1,,,1,3,2,2,3,2,2,5,3,7,6,,8886,8886,,1,3,3,1,1,3,1,2
LC2016R1_000127,20211115,1.3619542,2,50,3,1,1,8886,8886,2,2,,,3,13,,2,,10,1,1,,,1,5,4,4,5,3,2,2,2,3,3,,8888,8888,,2,3,3,4,2,5,3,2
LC2016R1_000128,20211115,1.2324060,2,20,2,1,1,2,1,2,1,1,1,1,,,,,1,1,1,,,1,3,2,2,3,2,2,5,3,1,1,,1,1,,1,3,3,1,2,3,1,1
LC2016R1_000129,20211115,1.5111537,2,0,1,1,1,8886,8886,2,2,,,3,9,,,,5,1,1,,,1,5,4,4,5,3,2,5,3,1,1,,1,1,,2,3,3,3,2,3,1,2
LC2016R1_000130,20211115,0.7566150,1,80,4,1,1,1,1,1,1,4,1,1,,,,,4,1,1,,,1,6,5,5,6,3,3,5,3,6,6,,4,3,,2,1,1,3,2,5,3,2
LC2016R1_000131,20211115,0.7517346,2,0,1,1,1,1,1,2,1,3,1,1,,,,,3,2,1,,,1,2,1,1,2,1,1,5,3,1,1,,8886,8886,,1,3,3,2,1,3,1,2
LC2016R1_000132,20211115,1.7484722,1,0,1,1,1,1,1,1,2,,,3,13,,2,,10,2,1,,,1,2,1,1,2,1,1,5,3,1,1,,1,1,,1,3,3,4,1,3,1,1
LC2016R1_000133,20211115,0.7285267,1,0,1,1,1,8886,8886,2,2,,,3,8,,,,4,2,1,,,1,6,5,5,6,3,3,5,3,6,6,,8886,8886,,1,3,3,3,1,3,1,-99
LC2016R1_000134,20211115,0.8269310,1,90,4,1,1,1,1,1,2,,,3,12,,,,6,2,-99,40,4,-99,6,5,5,6,3,3,3,2,5,5,,2,2,,1,2,2,4,2,5,3,2
LC2016R1_000135,20211115,0.5855559,2,70,4,1,1,1,1,1,1,3,1,1,,,,,3,1,1,,,1,5,4,4,5,3,2,2,2,1,1,,4,3,,1,3,3,4,2,2,1,2
LC2016R1_000136,20211115,1.0057325,1,70,4,1,1,1,1,2,2,,,3,12,,,,6,1,1,,,1,5,4,4,5,3,2,5,3,1,1,,2,2,,2,3,3,4,2,3,1,2
LC2016R1_000137,20211115,0.6172475,1,75,4,1,1,1,1,1,1,8885,2,2,4,,,,2,2,2,70,5,2,7,6,5,6,3,3,1,1,6,6,,2,2,,2,1,1,1,2,5,3,-99
LC2016R1_000138,20211115,0.5930062,1,80,4,1,1,2,1,2,1,3,1,1,,,,,3,2,1,,,1,5,4,4,5,3,2,3,2,2,2,,8886,8886,,2,1,1,2,2,3,1,2
LC2016R1_000139,20211115,0.8973245,1,50,3,1,1,8886,8886,2,1,4,1,1,,,,,4,2,1,,,1,5,4,4,5,3,2,2,2,5,5,,4,3,,2,1,1,3,2,4,2,2
LC2016R1_000140,20211115,0.6038438,1,100,5,1,1,2,1,1,1,8885,2,2,-99,,,,-99,2,2,50,4,2,7,6,5,6,3,3,1,1,6,6,,8886,8886,,2,1,1,2,1,5,3,2
LC2016R1_000141,20211115,1.6895881,2,10,2,1,1,2,1,2,1,1,1,1,,,,,1,2,1,,,1,2,1,1,2,1,1,5,3,2,2,,1,1,,1,3,3,1,1,3,1,2
LC2016R1_000142,20211115,0.9417847,2,0,1,1,1,3,3,2,2,,,3,12,,,,6,1,1,,,1,3,2,2,3,2,2,5,3,1,1,,1,1,,1,3,3,4,2,4,2,2
LC2016R1_000143,20211115,0.7566150,1,40,2,1,1,3,3,1,1,4,1,1,,,,,4,1,1,,,1,6,5,5,6,3,3,1,1,6,6,,4,3,,2,1,1,3,2,5,3,2
LC2016R1_000144,20211115,0.6715355,1,70,4,1,1,2,1,1,1,4,1,1,,,,,4,1,1,,,1,7,6,5,6,3,3,1,1,6,6,,2,2,,-99,3,3,3,2,5,3,2
LC2016R1_000145,20211115,0.7520120,1,30,2,1,1,1,1,1,1,8885,2,2,11,,,,10,2,1,,,1,7,6,5,6,3,3,2,2,5,5,,8886,8886,,1,2,2,4,2,3,1,2
LC2016R1_000146,20211115,0.5653615,1,100,5,1,1,4,3,2,2,,,3,17,,,,9,2,2,20,3,2,7,6,5,6,3,3,1,1,5,5,,4,3,,2,1,1,5,2,5,3,2
LC2016R1_000147,20211115,0.6371471,1,0,1,1,1,4,3,2,1,3,1,1,,,,,3,2,1,,,1,4,3,3,4,2,2,5,3,1,1,,3,1,,1,3,3,2,2,4,2,2
LC2016R1_000148,20211115,1.5553858,2,100,5,1,1,2,1,1,1,8885,2,2,14,,,,9,1,1,,,1,4,3,3,4,2,2,5,3,2,2,,4,3,,1,3,3,5,2,2,1,1
LC2016R1_000149,20211115,1.6442959,2,0,1,1,1,8886,8886,1,2,,,3,9,,,,5,2,1,,,1,4,3,3,4,2,2,5,3,2,2,,4,3,,2,3,3,3,2,3,1,2
LC2016R1_000150,20211115,0.4814544,1,50,3,1,1,2,1,2,2,,,3,6,,,,3,2,2,31,3,2,6,5,5,6,3,3,1,1,6,6,,4,3,,2,1,1,2,3,8888,8888,2
LC2016R1_000151,20211115,0.9862867,2,0,1,1,1,4,3,2,2,,,3,-99,,,,-99,1,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,3,,8886,8886,,-99,-99,-99,-99,-99,5,3,2
LC2016R1_000152,20211115,1.5044633,2,0,1,1,1,3,3,1,2,,,3,11,,,,10,2,1,,,1,3,2,2,3,2,2,5,3,1,1,,1,1,,1,3,3,4,1,4,2,2
LC2016R1_000153,20211115,0.5930062,1,0,1,1,1,1,1,1,1,3,1,1,,,,,3,2,1,,,1,5,4,4,5,3,2,5,3,1,1,,-99,-99,,1,-99,-99,2,2,4,2,2
LC2016R1_000154,20211115,1.3619542,2,50,3,1,1,1,1,2,1,10,1,1,,,,,10,1,1,,,1,5,4,4,5,3,2,2,2,3,3,,8886,8886,,2,1,1,4,3,5,3,2
LC2016R1_000155,20211115,1.5553858,1,0,1,1,1,4,3,1,1,9,1,1,,,,,9,1,1,,,1,4,3,3,4,2,2,5,3,1,1,,1,1,,1,3,3,5,2,3,1,2
LC2016R1_000156,20211115,1.0215208,2,30,2,1,1,1,1,2,1,8885,2,2,16,,,1,8,1,1,,,1,3,2,2,3,2,2,3,2,1,1,,2,2,,1,3,3,5,2,3,1,2
LC2016R1_000157,20211115,1.3328324,1,0,1,1,1,1,1,1,1,1,1,1,,,,,1,2,1,,,1,5,4,4,5,3,2,5,3,1,1,,1,1,,1,2,2,1,1,3,1,2
LC2016R1_000158,20211115,1.7511610,1,30,2,1,1,1,1,1,2,,,3,3,,,,1,1,1,,,1,2,1,1,2,1,1,4,3,1,1,,4,3,,2,3,3,1,1,2,1,2
LC2016R1_000159,20211115,1.1178848,2,0,1,1,1,1,1,2,1,8886,2,2,4,,,,2,1,1,,,1,5,4,4,5,3,2,5,3,1,1,,3,1,,2,3,3,1,3,3,1,1
LC2016R1_000160,20211115,1.1452993,1,50,3,1,1,1,1,2,1,8885,2,2,5,2,,,5,1,2,43,4,2,7,6,5,6,3,3,3,2,6,6,,2,2,,2,1,1,2,3,5,3,2
LC2016R1_000161,20211115,0.5653615,1,50,3,1,1,2,1,1,1,8885,2,2,14,,,,9,2,2,70,5,2,7,6,5,6,3,3,1,1,5,5,,4,3,,2,1,1,5,3,4,2,1
LC2016R1_000162,20211115,1.1198229,2,0,1,1,1,4,3,1,1,10,1,1,,,,,10,2,1,,,1,6,5,5,6,3,3,5,3,6,6,,8888,8888,,1,3,3,4,3,5,3,-99
LC2016R1_000163,20211115,0.8588133,1,40,2,1,1,4,3,1,1,6,1,1,,,,,6,1,1,,,1,6,5,5,6,3,3,5,3,1,1,,1,1,,1,3,3,4,2,3,1,1
LC2016R1_000164,20211115,0.4814544,1,70,4,1,1,1,1,1,1,3,1,1,,,,,3,2,2,60,5,2,6,5,5,6,3,3,3,2,6,6,,8886,8886,,2,1,1,2,2,5,3,-99
LC2016R1_000165,20211115,1.5553858,1,0,1,1,1,4,3,2,2,,,3,17,,,,9,1,-99,30,3,-99,4,3,3,4,2,2,2,2,7,6,,1,1,,2,1,1,5,2,5,3,2
LC2016R1_000166,20211115,0.6371471,1,70,4,1,1,1,1,1,1,3,1,1,,,,,3,2,2,40,4,2,4,3,3,4,2,2,5,3,1,1,,4,3,,1,3,3,2,2,3,1,1
LC2016R1_000167,20211115,1.0908827,2,40,2,1,1,4,3,1,2,,,3,16,,,1,8,1,2,42,4,2,5,4,4,5,3,2,3,2,3,3,,8886,8886,,1,4,3,5,2,3,1,2
LC2016R1_000168,20211115,1.0239150,1,70,4,1,1,1,1,2,1,8885,2,2,14,,,,9,1,1,,,1,5,4,4,5,3,2,3,2,6,6,,4,3,,2,1,1,5,2,3,1,2
LC2016R1_000169,20211115,1.1789627,2,10,2,1,1,3,3,2,2,,,3,8,,,,4,1,1,,,1,2,1,1,2,1,1,5,3,4,4,,1,1,,1,2,2,3,1,3,1,2
LC2016R1_000170,20211115,0.5930062,1,30,2,1,1,2,1,2,1,3,1,1,,,,,3,2,1,,,1,5,4,4,5,3,2,3,2,5,5,,8886,8886,,1,3,3,2,1,4,2,2
LC2016R1_000171,20211115,0.4437912,2,100,5,1,1,8886,8886,2,2,,,3,6,,,,3,1,1,,,1,7,6,5,6,3,3,1,1,6,6,,3,1,,2,1,1,2,3,5,3,2
LC2016R1_000172,20211115,1.0322214,2,80,4,1,2,2,1,1,1,8886,2,2,11,,,,10,1,1,,,1,7,6,5,6,3,3,5,3,6,6,,8888,8888,,2,3,3,4,2,4,2,2
LC2016R1_000173,20211115,1.1321082,2,20,2,1,1,8886,8886,2,1,8885,2,2,1,,,,2,2,2,34,3,2,5,4,4,5,3,2,5,3,1,1,,1,1,,1,3,3,1,1,3,1,2
LC2016R1_000174,20211115,1.1047626,2,60,4,1,1,1,1,1,2,,,3,16,,,1,8,2,1,,,1,5,4,4,5,3,2,2,2,1,1,,-99,-99,,1,3,3,5,2,-99,-99,-99
LC2016R1_000175,20211115,0.4000000,1,100,5,1,1,1,1,2,2,,,3,6,,,,3,2,2,8888,8888,2,7,6,5,6,3,3,2,2,6,6,,8888,8888,,2,1,1,2,3,5,3,1
LC2016R1_000176,20211115,1.2424973,2,80,4,1,1,1,1,2,2,,,3,9,,,,5,2,1,,,1,6,5,5,6,3,3,2,2,3,3,,2,2,,1,3,3,3,2,5,3,2
LC2016R1_000177,20211115,0.7791298,1,0,1,1,1,2,1,2,1,3,1,1,,,,,3,1,1,,,1,2,1,1,2,1,1,4,3,2,2,,8888,8888,,-99,1,1,2,1,8888,8888,2
LC2016R1_000178,20211115,0.4814544,1,60,4,1,1,4,3,2,2,,,3,6,,,,3,2,2,28,3,2,6,5,5,6,3,3,1,1,6,6,,3,1,,2,3,3,2,3,5,3,2
LC2016R1_000179,20211115,1.3792831,2,100,5,1,1,1,1,2,1,8885,2,2,11,,,,10,2,1,,,1,5,4,4,5,3,2,5,3,2,2,,-99,-99,,-99,-99,-99,4,-99,-99,-99,-99
LC2016R1_000180,20211115,0.6172475,1,80,4,1,1,1,1,2,1,8886,2,2,1,,,,2,2,2,50,4,2,7,6,5,6,3,3,1,1,5,5,,8886,8886,,-99,-99,-99,1,-99,-99,-99,-99
LC2016R1_000181,20211115,0.8288438,2,20,2,1,1,3,3,2,1,8885,2,2,-99,,,,-99,1,2,50,4,2,7,6,5,6,3,3,2,2,6,6,,1,1,,2,1,1,5,3,5,3,2
LC2016R1_000182,20211116,1.0821101,1,0,1,1,1,-99,-99,2,2,,,3,3,,,,1,2,1,,,1,6,5,5,6,3,3,5,3,6,6,,1,1,,1,3,3,1,2,2,1,2
LC2016R1_000183,20211116,0.9588112,2,0,1,1,1,4,3,2,1,8885,2,2,14,,,,9,1,1,,,1,3,2,2,3,2,2,5,3,3,3,,1,1,,1,3,3,5,1,5,3,2
LC2016R1_000184,20211116,0.8743398,1,60,4,1,1,1,1,1,1,8886,2,2,14,,,,9,1,1,,,1,6,5,5,6,3,3,5,3,2,2,,4,3,,1,3,3,5,2,3,1,2
LC2016R1_000185,20211116,1.1198229,1,30,2,1,1,1,1,1,1,8885,2,2,11,,,,10,2,4,40,4,8881,6,5,5,6,3,3,1,1,5,5,,4,3,,1,3,3,4,2,4,2,2
LC2016R1_000186,20211116,1.1149228,2,30,2,1,1,2,1,2,1,7,1,1,,,,,7,1,1,,,1,3,2,2,3,2,2,3,2,3,3,,3,1,,1,2,2,5,1,5,3,2
LC2016R1_000187,20211116,0.5930062,2,50,3,1,1,2,1,1,1,3,1,1,,,,,3,2,2,25,3,2,5,4,4,5,3,2,3,2,3,3,,8886,8886,,2,1,1,2,2,5,3,2
LC2016R1_000188,20211116,1.4537968,2,0,1,1,1,1,1,2,1,8885,2,2,3,,,,1,2,1,,,1,3,2,2,3,2,2,5,3,2,2,,3,1,,2,2,2,1,1,5,3,1
LC2016R1_000189,20211116,1.4351367,1,0,1,1,1,4,3,2,2,,,3,1,,,,2,2,1,,,1,2,1,1,2,1,1,5,3,4,4,,1,1,,1,3,3,1,1,2,1,2
LC2016R1_000190,20211116,0.5553218,1,50,3,1,1,8886,8886,2,1,8885,2,2,12,,,,6,2,1,,,1,7,6,5,6,3,3,1,1,6,6,,4,3,,1,2,2,4,3,5,3,2
LC2016R1_000191,20211116,0.6172475,1,95,4,1,1,1,1,2,1,8885,2,2,1,,,,2,2,1,,,1,7,6,5,6,3,3,3,2,5,5,,4,3,,2,3,3,1,2,3,1,2
LC2016R1_000192,20211116,1.0240744,2,0,1,1,1,3,3,2,2,,,3,-99,,,,-99,1,1,,,1,3,2,2,3,2,2,5,3,1,1,,8886,8886,,1,4,3,3,1,4,2,2
LC2016R1_000193,20211116,1.2050280,2,0,1,1,1,8886,8886,2,2,,,3,15,,,,8,2,1,,,1,3,2,2,3,2,2,3,2,2,2,,4,3,,1,1,1,5,2,4,2,2
LC2016R1_000194,20211116,0.9641175,2,0,1,1,1,4,3,1,1,4,1,1,,,,,4,2,1,,,1,4,3,3,4,2,2,5,3,1,1,,8886,8886,,1,3,3,1,2,3,1,2
LC2016R1_000195,20211116,1.1075243,1,50,3,1,1,2,1,2,1,8885,2,2,-99,,,,-99,2,1,,,1,5,4,4,5,3,2,3,2,6,6,,4,3,,1,3,3,4,2,4,2,2
LC2016R1_000196,20211116,0.6715355,1,85,4,1,1,2,1,1,1,8886,2,2,8,,,,4,1,2,43,4,2,7,6,5,6,3,3,2,2,6,6,,2,2,,2,1,1,3,2,3,1,1
LC2016R1_000197,20211116,1.1198229,1,100,5,1,1,1,1,1,1,8885,2,2,11,,,,10,2,2,20,3,2,6,5,5,6,3,3,1,1,6,6,,8886,8886,,2,1,1,4,3,5,3,2
LC2016R1_000198,20211116,1.1047626,1,50,3,1,1,8886,8886,2,1,8885,2,2,15,,,,8,2,2,23,3,2,5,4,4,5,3,2,3,2,1,1,,4,3,,2,1,1,5,1,5,3,1
LC2016R1_000199,20211116,1.2050280,2,80,4,1,2,2,1,1,1,8,1,1,,,,,8,2,2,20,3,2,3,2,2,3,2,2,5,3,2,2,,4,3,,1,3,3,5,2,3,1,2
LC2016R1_000200,20211116,1.0185289,1,50,3,1,1,1,1,2,1,8886,2,2,13,,1,,6,2,2,40,4,2,5,4,4,5,3,2,4,3,5,5,,4,3,,1,3,3,4,2,4,2,2
LC2016R1_000201,20211116,0.8743398,1,80,4,1,1,1,1,1,2,,,3,17,,,,9,1,2,43,4,2,6,5,5,6,3,3,3,2,2,2,,8886,8886,,1,3,3,5,2,5,3,2
LC2016R1_000202,20211116,0.7266862,1,99,4,1,1,1,1,2,1,8885,2,2,3,,,,1,2,2,71,5,2,7,6,5,6,3,3,1,1,6,6,,8888,8888,,1,2,2,1,3,5,3,2
LC2016R1_000203,20211116,1.3459621,2,50,3,1,1,8886,8886,1,1,8886,2,2,8,,,,4,1,2,35,3,2,4,3,3,4,2,2,5,3,1,1,,2,2,,2,1,1,3,2,5,3,2
LC2016R1_000204,20211116,0.8894930,1,0,1,1,1,3,3,2,1,3,1,1,,,,,3,1,1,,,1,4,3,3,4,2,2,2,2,3,3,,4,3,,2,1,1,2,1,4,2,2
LC2016R1_000205,20211116,0.7266862,1,0,1,1,1,3,3,2,1,8885,2,2,3,,,,1,2,2,62,5,2,7,6,5,6,3,3,1,1,5,5,,1,1,,1,3,3,1,2,5,3,2
LC2016R1_000206,20211116,1.0166979,2,60,4,1,1,1,1,2,1,8885,2,2,10,,,,7,1,2,40,4,2,6,5,5,6,3,3,1,1,6,6,,4,3,,2,1,1,4,2,5,3,2
LC2016R1_000207,20211116,1.6442959,2,50,3,1,1,1,1,1,2,,,3,9,,,,5,2,2,32,3,2,4,3,3,4,2,2,2,2,2,2,,1,1,,2,1,1,3,2,3,1,1
LC2016R1_000208,20211116,0.8743398,2,100,5,1,1,1,1,1,1,8885,2,2,17,,,,9,1,1,,,1,6,5,5,6,3,3,3,2,1,1,,4,3,,1,3,3,5,2,5,3,1
LC2016R1_000209,20211116,1.0369429,1,70,4,1,1,1,1,2,1,9,1,1,,,,,9,2,2,50,4,2,5,4,4,5,3,2,3,2,2,2,,2,2,,1,3,3,5,2,3,1,2
LC2016R1_000210,20211116,0.6468260,2,40,2,1,1,8886,8886,1,1,3,1,1,,,,,3,2,1,,,1,3,2,2,3,2,2,5,3,1,1,,4,3,,2,3,3,2,2,4,2,2
LC2016R1_000211,20211116,1.0908827,2,70,4,1,1,1,1,-99,1,-99,-99,-99,15,,,,8,1,2,40,4,2,5,4,4,5,3,2,2,2,6,6,,8886,8886,,1,3,3,5,2,8888,8888,-99
LC2016R1_000212,20211116,1.1869964,1,70,4,1,1,1,1,1,1,8885,2,2,16,,,1,8,2,1,,,1,4,3,3,4,2,2,5,3,1,1,,2,2,,1,3,3,5,2,2,1,2
LC2016R1_000213,20211116,1.0166979,1,50,3,1,1,1,1,2,2,,,3,16,,,2,7,1,4,51,4,8881,6,5,5,6,3,3,1,1,6,6,,2,2,,2,1,1,5,2,3,1,2
LC2016R1_000214,20211116,1.3338395,1,0,1,1,1,1,1,2,2,,,3,5,2,,,5,2,1,,,1,-99,-99,-99,-99,-99,-99,3,2,1,1,,1,1,,1,1,1,2,-99,4,2,2
LC2016R1_000215,20211116,0.8894930,1,0,1,1,1,4,3,1,1,3,1,1,,,,,3,1,2,26,3,2,4,3,3,4,2,2,3,2,2,2,,1,1,,2,3,3,2,2,4,2,2
LC2016R1_000216,20211116,0.6574124,2,50,3,1,1,8886,8886,1,1,8885,2,2,10,,,,7,2,2,61,5,2,7,6,5,6,3,3,1,1,5,5,,8886,8886,,1,2,2,4,2,5,3,2
LC2016R1_000217,20211116,0.8343935,1,80,4,1,1,8886,8886,2,2,,,3,9,,,,5,2,2,22,3,2,7,6,5,6,3,3,1,1,5,5,,2,2,,2,1,1,3,3,5,3,2
LC2016R1_000218,20211116,0.9588112,2,20,2,1,1,8886,8886,1,1,9,1,1,,,,,9,1,1,,,1,3,2,2,3,2,2,5,3,2,2,,1,1,,2,1,1,5,1,4,2,2
LC2016R1_000219,20211116,1.3160871,2,0,1,1,2,4,3,1,1,1,1,1,,,,,1,1,1,,,1,5,4,4,5,3,2,5,3,1,1,,1,1,,1,3,3,1,2,3,1,1
LC2016R1_000220,20211116,1.1629976,1,50,3,1,1,1,1,1,1,10,1,1,,,,,10,1,1,,,1,6,5,5,6,3,3,2,2,3,3,,2,2,,1,2,2,4,2,5,3,2
LC2016R1_000221,20211116,1.2057757,1,70,4,1,1,2,1,2,2,,,3,10,,,,7,2,1,,,1,5,4,4,5,3,2,2,2,2,2,,4,3,,1,2,2,4,3,4,2,2
LC2016R1_000222,20211116,0.6172475,1,100,5,1,1,1,1,1,2,,,3,4,,,,2,2,2,64,5,2,7,6,5,6,3,3,1,1,6,6,,8888,8888,,2,1,1,1,3,3,1,-99
LC2016R1_000223,20211116,0.6023381,1,0,1,1,1,4,3,2,1,8885,2,2,15,,,,8,2,2,81,5,2,7,6,5,6,3,3,1,1,6,6,,1,1,,2,1,1,5,3,4,2,2
LC2016R1_000224,20211116,0.5855559,2,0,1,1,1,2,1,-99,1,3,1,1,,,,,3,1,1,,,1,5,4,4,5,3,2,5,3,1,1,,3,1,,1,3,3,2,2,3,1,2
LC2016R1_000225,20211116,1.1198229,1,70,4,1,1,1,1,1,1,8885,2,2,11,,,,10,2,2,50,4,2,6,5,5,6,3,3,1,1,6,6,,2,2,,1,2,2,4,2,3,1,2
LC2016R1_000226,20211116,0.5855559,1,70,4,1,1,1,1,2,1,8885,2,2,6,,,,3,1,1,,,1,5,4,4,5,3,2,3,2,1,1,,4,3,,2,3,3,2,2,4,2,2
LC2016R1_000227,20211116,1.3624024,2,0,1,1,1,1,1,2,1,8885,2,2,14,,,,9,1,2,20,3,2,2,1,1,2,1,1,3,2,8881,6,__,8886,8886,,2,1,1,5,1,5,3,2
LC2016R1_000228,20211116,0.5653615,1,8888,8888,1,1,2,1,1,2,,,3,17,,,,9,2,2,8888,8888,2,7,6,5,6,3,3,1,1,5,5,,8886,8886,,1,2,2,5,2,5,3,1
LC2016R1_000229,20211116,1.9400139,2,20,2,1,1,3,3,2,2,,,3,5,2,,,5,2,1,,,1,2,1,1,2,1,1,5,3,4,4,,1,1,,1,2,2,2,1,3,1,2
LC2016R1_000230,20211116,1.4515082,2,0,1,1,1,4,3,2,1,8885,2,2,15,,,,8,1,1,,,1,2,1,1,2,1,1,3,2,3,3,,8886,8886,,2,1,1,5,3,3,1,1
LC2016R1_000231,20211116,1.6895881,1,1,2,1,1,1,1,2,1,8885,2,2,2,,,,1,2,1,,,1,2,1,1,2,1,1,5,3,4,4,,4,3,,1,3,3,1,1,4,2,2
LC2016R1_000232,20211116,0.7622419,2,100,5,1,2,1,1,1,2,,,3,13,,1,,6,1,2,60,5,2,7,6,5,6,3,3,1,1,3,3,,4,3,,2,1,1,4,2,5,3,2
LC2016R1_000233,20211116,1.3328324,1,0,1,1,1,4,3,1,1,8885,2,2,3,,,,1,2,2,35,3,2,5,4,4,5,3,2,5,3,1,1,,1,1,,1,2,2,1,2,3,1,1
LC2016R1_000234,20211116,0.4437912,1,0,1,1,1,4,3,1,1,3,1,1,,,,,3,1,2,60,5,2,7,6,5,6,3,3,2,2,6,6,,4,3,,2,1,1,2,2,5,3,1
LC2016R1_000235,20211116,1.1375090,1,20,2,1,1,2,1,1,1,4,1,1,,,,,4,2,1,,,1,2,1,1,2,1,1,5,3,2,2,,1,1,,2,3,3,3,1,4,2,-99
LC2016R1_000236,20211116,0.4437912,1,10,2,1,1,4,3,2,1,3,1,1,,,,,3,1,5,40,4,8881,7,6,5,6,3,3,5,3,1,1,,4,3,,1,3,3,2,2,3,1,2
LC2016R1_000237,20211116,1.6571135,2,0,1,1,1,1,1,1,1,8885,2,2,15,,,,8,1,1,,,1,4,3,3,4,2,2,5,3,2,2,,8886,8886,,1,2,2,5,1,5,3,2
LC2016R1_000238,20211116,0.9641175,2,0,1,1,2,4,3,1,2,,,3,8,,,,4,2,2,10,2,2,4,3,3,4,2,2,3,2,2,2,,1,1,,2,3,3,3,2,5,3,2
LC2016R1_000239,20211116,0.8860508,2,50,3,1,1,2,1,1,1,8885,2,2,8,,,,4,1,2,10,2,2,5,4,4,5,3,2,2,2,3,3,,4,3,,2,1,1,3,2,5,3,2
LC2016R1_000240,20211116,0.8588133,1,40,2,1,1,2,1,1,1,8885,2,2,12,,,,6,1,1,,,1,6,5,5,6,3,3,3,2,6,6,,2,2,,1,3,3,4,2,3,1,2
LC2016R1_000241,20211116,1.0821101,2,80,4,1,1,1,1,2,2,,,3,3,,,,1,2,1,,,1,6,5,5,6,3,3,1,1,6,6,,1,1,,2,1,1,1,3,4,2,2
LC2016R1_000242,20211116,0.8894930,2,50,3,1,2,1,1,1,1,8885,2,2,5,1,,,3,1,2,10,2,2,4,3,3,4,2,2,3,2,3,3,,4,3,,2,4,3,2,2,5,3,2
LC2016R1_000243,20211116,1.1310532,2,60,4,1,1,1,1,2,2,,,3,17,,,,9,2,1,,,1,3,2,2,3,2,2,5,3,2,2,,4,3,,1,2,2,5,2,3,1,1
LC2016R1_000244,20211116,0.4437912,2,98,4,1,1,1,1,1,1,8885,2,2,6,,,,3,1,1,,,1,7,6,5,6,3,3,2,2,6,6,,2,2,,2,1,1,2,3,5,3,2
LC2016R1_000245,20211116,1.0215208,2,100,5,1,1,1,1,2,2,,,3,16,,,1,8,1,1,,,1,3,2,2,3,2,2,5,3,1,1,,2,2,,2,3,3,5,2,3,1,2
LC2016R1_000246,20211116,0.8894930,1,0,1,1,1,1,1,2,1,3,1,1,,,,,3,1,1,,,1,4,3,3,4,2,2,5,3,1,1,,1,1,,1,2,2,4,1,4,2,1
LC2016R1_000247,20211116,0.4000000,1,85,4,1,1,8888,8888,2,2,,,3,6,,,,3,2,2,20,3,2,7,6,5,6,3,3,1,1,6,6,,8888,8888,,2,1,1,2,3,5,3,-99
LC2016R1_000248,20211116,0.5000169,2,35,2,1,1,2,1,2,2,,,3,6,,,,3,1,1,,,1,6,5,5,6,3,3,1,1,6,6,,1,1,,2,1,1,2,2,3,1,2
LC2016R1_000249,20211116,0.8288438,1,65,4,1,1,8886,8886,2,2,,,3,13,,8888,,-99,1,2,60,5,2,7,6,5,6,3,3,3,2,6,6,,2,2,,2,1,1,4,3,5,3,2
LC2016R1_000250,20211116,0.8418811,2,1,2,1,1,4,3,2,1,8885,2,2,17,,,,9,2,1,,,1,6,5,5,6,3,3,3,2,2,2,,1,1,,2,1,1,5,2,5,3,2
LC2016R1_000251,20211116,1.4004715,1,0,1,1,1,2,1,2,2,,,3,15,,,,8,2,1,,,1,2,1,1,2,1,1,5,3,1,1,,3,1,,1,3,3,5,1,3,1,2
LC2016R1_000252,20211116,0.9974588,1,30,2,1,1,2,1,2,1,1,1,1,,,,,1,1,2,55,4,2,7,6,5,6,3,3,4,3,6,6,,1,1,,1,3,3,1,1,4,2,2
LC2016R1_000253,20211116,1.1109680,2,0,1,1,1,8888,8888,2,2,,,3,12,,,,6,2,1,,,1,3,2,2,3,2,2,5,3,6,6,,8886,8886,,1,2,2,4,2,5,3,2
LC2016R1_000254,20211116,0.9417847,1,98,4,1,1,2,1,2,2,,,3,12,,,,6,1,1,,,1,3,2,2,3,2,2,2,2,3,3,,1,1,,1,2,2,4,1,1,1,1
LC2016R1_000255,20211116,0.6023381,1,50,3,1,1,3,3,2,1,8885,2,2,15,,,,8,2,1,,,1,7,6,5,6,3,3,1,1,5,5,,4,3,,2,1,1,5,3,5,3,2
